Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_LargeAddressAware,Job_Platform,Job_PowerPlanMode,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MemoryRandomization,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value
OllamaImageLabs.Ollama-CPU-llama3.2-vision-Sample-images,OllamaBenchmark,OllamaImageLabs,Ollama-CPU-llama3.2-vision-Sample-images,Job-PNKSRD,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"Job-PNKSRD(IterationCount=5, RunStrategy=Throughput)",,1,Overhead,Jitting,1,216400,1,216400
OllamaImageLabs.Ollama-CPU-llama3.2-vision-Sample-images,OllamaBenchmark,OllamaImageLabs,Ollama-CPU-llama3.2-vision-Sample-images,Job-PNKSRD,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"Job-PNKSRD(IterationCount=5, RunStrategy=Throughput)",,1,Workload,Jitting,1,428712730800,1,428712730800
OllamaImageLabs.Ollama-CPU-llama3.2-vision-Sample-images,OllamaBenchmark,OllamaImageLabs,Ollama-CPU-llama3.2-vision-Sample-images,Job-PNKSRD,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"Job-PNKSRD(IterationCount=5, RunStrategy=Throughput)",,1,Workload,Warmup,1,73571394900,1,73571394900
OllamaImageLabs.Ollama-CPU-llama3.2-vision-Sample-images,OllamaBenchmark,OllamaImageLabs,Ollama-CPU-llama3.2-vision-Sample-images,Job-PNKSRD,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"Job-PNKSRD(IterationCount=5, RunStrategy=Throughput)",,1,Workload,Warmup,2,72969623100,1,72969623100
OllamaImageLabs.Ollama-CPU-llama3.2-vision-Sample-images,OllamaBenchmark,OllamaImageLabs,Ollama-CPU-llama3.2-vision-Sample-images,Job-PNKSRD,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"Job-PNKSRD(IterationCount=5, RunStrategy=Throughput)",,1,Workload,Warmup,3,112692560500,1,112692560500
OllamaImageLabs.Ollama-CPU-llama3.2-vision-Sample-images,OllamaBenchmark,OllamaImageLabs,Ollama-CPU-llama3.2-vision-Sample-images,Job-PNKSRD,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"Job-PNKSRD(IterationCount=5, RunStrategy=Throughput)",,1,Workload,Warmup,4,58985039300,1,58985039300
OllamaImageLabs.Ollama-CPU-llama3.2-vision-Sample-images,OllamaBenchmark,OllamaImageLabs,Ollama-CPU-llama3.2-vision-Sample-images,Job-PNKSRD,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"Job-PNKSRD(IterationCount=5, RunStrategy=Throughput)",,1,Workload,Warmup,5,48677208600,1,48677208600
OllamaImageLabs.Ollama-CPU-llama3.2-vision-Sample-images,OllamaBenchmark,OllamaImageLabs,Ollama-CPU-llama3.2-vision-Sample-images,Job-PNKSRD,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"Job-PNKSRD(IterationCount=5, RunStrategy=Throughput)",,1,Workload,Warmup,6,80968313900,1,80968313900
OllamaImageLabs.Ollama-CPU-llama3.2-vision-Sample-images,OllamaBenchmark,OllamaImageLabs,Ollama-CPU-llama3.2-vision-Sample-images,Job-PNKSRD,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"Job-PNKSRD(IterationCount=5, RunStrategy=Throughput)",,1,Workload,Warmup,7,62873013900,1,62873013900
OllamaImageLabs.Ollama-CPU-llama3.2-vision-Sample-images,OllamaBenchmark,OllamaImageLabs,Ollama-CPU-llama3.2-vision-Sample-images,Job-PNKSRD,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,Default,Default,Default,Default,Default,Default,Throughput,Default,Default,"Job-PNKSRD(IterationCount=5, RunStrategy=Throughput)",,1,Workload,Actual,1,77076947300,1,77076947300
